Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
65	-14.987838	12.552837	-1.542212	-57.051987	256.0	0.0	256.0	256.0	-14.683298	5.0641875	-11.338558	-63.934383	1689600	-8.34465e-09	-8.34465e-09	126.346954	-0.0010949253	-1.6602936	0.28059816	2.2692022	0.00024455733	0.0	0.0029296875	0.0	79.0	2.6277514	17.615591	17.615591	11055.678498506546
66	-15.509174	10.802904	-1.6114573	-58.06878	256.0	0.0	256.0	256.0	-14.803187	5.3462706	-11.700675	-61.394905	1715200	3.5762786e-09	3.5762786e-09	101.27208	-0.0013213909	-2.3249893	0.27396122	2.2690046	0.000361994	0.0	0.0062109376	0.0	79.0	2.6325915	18.141766	18.141766	11212.93552494049
67	-15.572166	12.993519	-1.0161995	-56.745834	256.0	0.0	256.0	256.0	-15.622088	4.66182	-13.055552	-58.472813	1740800	-1.2516975e-08	-1.2516975e-08	139.53859	-0.0014441865	-4.316681	0.2655565	2.2666495	-8.328356e-05	0.0	0.0031640625	0.0	79.0	4.7846937	20.356865	20.356865	11378.567850112915
68	-16.983467	14.225907	-1.7697946	-59.260475	256.0	0.0	256.0	256.0	-15.772297	5.98999	-12.519105	-61.20855	1766400	5.9604643e-10	1.1920929e-09	166.74063	-0.0010077602	-2.6577454	0.28896058	2.2728195	0.00026919576	0.0	0.005078125	0.0	79.0	3.0800598	20.063528	20.063528	11542.349160194397
69	-14.462938	10.601173	-1.010987	-58.4515	256.0	0.0	256.0	256.0	-16.321829	4.8887978	-14.05574	-48.940796	1792000	0.0	0.0	95.94804	-0.00080731866	-4.446533	0.2481362	2.2808006	-9.85898e-07	0.0	0.0028515626	0.0	79.0	1.6844101	16.147348	16.147348	11711.363560199738
70	-15.540882	13.368438	-1.0	-62.545204	256.0	0.0	256.0	256.0	-14.804634	5.301975	-12.211082	-54.410427	1817600	-2.3841857e-09	-2.3841857e-09	145.77275	-0.0013613326	-1.7273865	0.2591395	2.2665164	0.0006424542	0.0	0.008984375	0.0	79.0	2.3659997	17.906883	17.906883	11877.162583112717
71	-17.347338	12.922685	-1.1325185	-72.166405	256.0	0.0	256.0	256.0	-16.18225	6.847483	-12.695381	-62.49438	1843200	-5.9604646e-09	-7.152557e-09	144.17732	-0.0015989381	-5.6678925	0.2995461	2.259339	0.00017756036	0.0	0.007265625	0.0	79.0	12.085758	29.433096	29.433096	12045.50557589531
72	-14.5402775	11.209877	-1.1440742	-53.39933	256.0	0.0	256.0	256.0	-16.872461	4.423181	-14.801745	-53.27808	1868800	1.1920929e-09	2.3841857e-09	104.58872	-0.0013300204	-6.6568832	0.2579607	2.2732496	0.00026092105	0.0	0.008515625	0.0	79.0	5.002581	19.542856	19.542856	12210.90068769455
73	-14.240697	11.9981	-1.0326056	-52.0845	256.0	0.0	256.0	256.0	-14.415691	5.1812496	-11.795025	-53.82097	1894400	-5.9604646e-09	-5.9604646e-09	115.472664	-0.0018321646	-0.7075882	0.24075322	2.2828214	0.000488669	0.0	0.011796875	0.0	79.0	0.9608356	15.201532	15.201532	12378.568231582642
74	-14.206507	9.326129	-1.0	-43.973614	256.0	0.0	256.0	256.0	-14.193662	5.3024926	-11.920346	-54.46683	1920000	8.34465e-09	9.015203e-09	74.7822	-0.0011708637	-2.8178482	0.23691714	2.2709322	-9.560837e-06	0.0	0.0035546876	0.0	79.0	6.503352	20.709858	20.709858	12545.293060541153
75	-15.07808	10.959161	-1.0140625	-60.9504	256.0	0.0	256.0	256.0	-14.382173	4.1225963	-12.60418	-49.582188	1945600	-9.536743e-09	-9.536743e-09	104.182594	-0.0014084601	-1.6351166	0.2401572	2.2817867	0.00052836665	0.0	0.0075	0.0	79.0	4.333349	19.411428	19.411428	12706.93739104271
76	-13.782654	9.827152	-1.0	-48.747467	256.0	0.0	256.0	256.0	-14.864117	3.8370643	-13.421	-48.693733	1971200	-4.7683715e-09	-4.7683715e-09	80.08778	-0.0018195772	-2.0395508	0.22318089	2.2898405	0.00045368233	0.0	0.00640625	0.0	79.0	-1.5771701	12.205487	12.205487	12873.98093867302
77	-16.158863	12.909784	-1.0	-62.858997	256.0	0.0	256.0	256.0	-14.181208	4.9158893	-12.204282	-52.29194	1996800	-7.152557e-09	-7.152557e-09	137.89769	-0.0010340452	-7.505234	0.2520775	2.2632585	0.00018045753	0.0	0.0033984375	0.0	79.0	4.7473254	20.906189	20.906189	13045.33329153061
